Bubble Sort    | Inputs     10 | Time taken        0ms | Array accesses:             178 | Comparisons: 55
Bubble Sort    | Inputs     20 | Time taken        0ms | Array accesses:             788 | Comparisons: 210
Bubble Sort    | Inputs     50 | Time taken        0ms | Array accesses:            5106 | Comparisons: 1275
Bubble Sort    | Inputs    100 | Time taken        0ms | Array accesses:           20420 | Comparisons: 5050
Bubble Sort    | Inputs   1000 | Time taken   4.0011ms | Array accesses:         2019012 | Comparisons: 500500
Bubble Sort    | Inputs   5000 | Time taken  103.024ms | Array accesses:        50006620 | Comparisons: 12502500
Bubble Sort    | Inputs  10000 | Time taken  456.103ms | Array accesses:       200652392 | Comparisons: 50005000
Bubble Sort    | Inputs  20000 | Time taken  2124.48ms | Array accesses:       801210872 | Comparisons: 200010000
Bubble Sort    | Inputs  50000 | Time taken  15178.4ms | Array accesses:      4997920352 | Comparisons: 1250025000
Bubble Sort    | Inputs 100000 | Time taken  62722.2ms | Array accesses:     19966850900 | Comparisons: 5000050000
Insertion Sort | Inputs     10 | Time taken        0ms | Array accesses:              77 | Comparisons: 25
Insertion Sort | Inputs     20 | Time taken        0ms | Array accesses:             331 | Comparisons: 109
Insertion Sort | Inputs     50 | Time taken        0ms | Array accesses:            2062 | Comparisons: 686
Insertion Sort | Inputs    100 | Time taken        0ms | Array accesses:            8034 | Comparisons: 2676
Insertion Sort | Inputs   1000 | Time taken   2.0003ms | Array accesses:          763501 | Comparisons: 254497
Insertion Sort | Inputs   5000 | Time taken  62.0139ms | Array accesses:        18751207 | Comparisons: 6250399
Insertion Sort | Inputs  10000 | Time taken   249.08ms | Array accesses:        75481783 | Comparisons: 25160589
Insertion Sort | Inputs  20000 | Time taken  986.223ms | Array accesses:       300893143 | Comparisons: 100297709
Insertion Sort | Inputs  50000 | Time taken   6173.4ms | Array accesses:      1873402753 | Comparisons: 624467579
Insertion Sort | Inputs 100000 | Time taken  24682.6ms | Array accesses:      7475063165 | Comparisons: 2491687715
Merge Sort     | Inputs     10 | Time taken        0ms | Array accesses:             171 | Comparisons: 36
Merge Sort     | Inputs     20 | Time taken        0ms | Array accesses:             384 | Comparisons: 78
Merge Sort     | Inputs     50 | Time taken        0ms | Array accesses:            1264 | Comparisons: 254
Merge Sort     | Inputs    100 | Time taken        0ms | Array accesses:            2950 | Comparisons: 596
Merge Sort     | Inputs   1000 | Time taken        0ms | Array accesses:           46403 | Comparisons: 9328
Merge Sort     | Inputs   5000 | Time taken   2.0007ms | Array accesses:          291021 | Comparisons: 58188
Merge Sort     | Inputs  10000 | Time taken   2.9835ms | Array accesses:          632299 | Comparisons: 126446
Merge Sort     | Inputs  20000 | Time taken   7.0032ms | Array accesses:         1365112 | Comparisons: 273011
Merge Sort     | Inputs  50000 | Time taken  18.0041ms | Array accesses:         3740904 | Comparisons: 747618
Merge Sort     | Inputs 100000 | Time taken   38.008ms | Array accesses:         7983460 | Comparisons: 1595510
Quick Sort     | Inputs     10 | Time taken        0ms | Array accesses:             103 | Comparisons: 24
Quick Sort     | Inputs     20 | Time taken        0ms | Array accesses:             347 | Comparisons: 82
Quick Sort     | Inputs     50 | Time taken        0ms | Array accesses:             810 | Comparisons: 240
Quick Sort     | Inputs    100 | Time taken        0ms | Array accesses:            2702 | Comparisons: 716
Quick Sort     | Inputs   1000 | Time taken   1.0001ms | Array accesses:           32595 | Comparisons: 10490
Quick Sort     | Inputs   5000 | Time taken   1.0002ms | Array accesses:          221167 | Comparisons: 69633
Quick Sort     | Inputs  10000 | Time taken   3.0158ms | Array accesses:          528405 | Comparisons: 158978
Quick Sort     | Inputs  20000 | Time taken   3.9828ms | Array accesses:         1091773 | Comparisons: 325268
Quick Sort     | Inputs  50000 | Time taken  14.0025ms | Array accesses:         3327384 | Comparisons: 984188
Quick Sort     | Inputs 100000 | Time taken  28.0064ms | Array accesses:         6686776 | Comparisons: 2044507
Selection Sort | Inputs     10 | Time taken        0ms | Array accesses:             120 | Comparisons: 45
Selection Sort | Inputs     20 | Time taken        0ms | Array accesses:             440 | Comparisons: 190
Selection Sort | Inputs     50 | Time taken        0ms | Array accesses:            2600 | Comparisons: 1225
Selection Sort | Inputs    100 | Time taken        0ms | Array accesses:           10200 | Comparisons: 4950
Selection Sort | Inputs   1000 | Time taken   5.0019ms | Array accesses:         1002000 | Comparisons: 499500
Selection Sort | Inputs   5000 | Time taken  122.028ms | Array accesses:        25010000 | Comparisons: 12497500
Selection Sort | Inputs  10000 | Time taken  489.089ms | Array accesses:       100020000 | Comparisons: 49995000
Selection Sort | Inputs  20000 | Time taken  1947.44ms | Array accesses:       400040000 | Comparisons: 199990000
Selection Sort | Inputs  50000 | Time taken  12178.7ms | Array accesses:      2500100000 | Comparisons: 1249975000
Selection Sort | Inputs 100000 | Time taken  48864.7ms | Array accesses:     10000200000 | Comparisons: 4999950000
